Rect_square_len,k,Runtime,HL_expanded,HL_generated,LL_expanded,LL_generated,agents,solution_cost,idea_cost,algorithm
1,4,1,1,3,21,56,./agent/0obs-20x20map-2agents-1.agents,6,2,CBS
5,1,1932,296,593,15868,48934,./agent/0obs-20x20map-2agents-5.agents,22,2,CBS
3,0,50,19,39,398,1434,./agent/0obs-20x20map-2agents-3.agents,13,1,CBS
6,0,8304,1286,2573,68293,245434,./agent/0obs-20x20map-2agents-6.agents,25,1,CBS
5,0,1452,311,623,12520,45243,./agent/0obs-20x20map-2agents-5.agents,21,1,CBS
1,0,1,1,3,14,46,./agent/0obs-20x20map-2agents-1.agents,5,1,CBS
4,1,377,81,163,3138,9844,./agent/0obs-20x20map-2agents-4.agents,18,2,CBS
6,1,15544,1422,2845,101785,308174,./agent/0obs-20x20map-2agents-6.agents,26,2,CBSH
1,2,1,1,3,21,56,./agent/0obs-20x20map-2agents-1.agents,6,2,CBS
3,3,90,19,39,727,2025,./agent/0obs-20x20map-2agents-3.agents,14,2,CBS
1,3,2,1,3,21,56,./agent/0obs-20x20map-2agents-1.agents,6,2,CBS
1,1,1,1,3,16,52,./agent/0obs-20x20map-2agents-1.agents,6,2,CBS
3,1,81,19,39,507,1626,./agent/0obs-20x20map-2agents-3.agents,14,2,CBSH
3,1,64,19,39,507,1627,./agent/0obs-20x20map-2agents-3.agents,14,2,CBS
3,4,102,19,39,727,1988,./agent/0obs-20x20map-2agents-3.agents,14,2,CBS
2,4,18,5,11,130,358,./agent/0obs-20x20map-2agents-2.agents,10,2,CBSH
4,0,298,57,115,1733,6285,./agent/0obs-20x20map-2agents-4.agents,17,1,CBSH
6,2,18130,1317,2635,135684,366868,./agent/0obs-20x20map-2agents-6.agents,26,2,CBSH
4,2,517,80,161,4484,12430,./agent/0obs-20x20map-2agents-4.agents,18,2,CBS
4,4,644,80,161,4468,12100,./agent/0obs-20x20map-2agents-4.agents,18,2,CBSH
3,3,106,19,39,731,2027,./agent/0obs-20x20map-2agents-3.agents,14,2,CBSH
4,3,888,80,161,4468,12283,./agent/0obs-20x20map-2agents-4.agents,18,2,CBSH
6,0,7919,969,1939,52673,191118,./agent/0obs-20x20map-2agents-6.agents,25,1,CBSH
2,2,23,5,11,130,367,./agent/0obs-20x20map-2agents-2.agents,10,2,CBSH
5,2,3638,321,643,24748,67912,./agent/0obs-20x20map-2agents-5.agents,22,2,CBSH
6,3,17216,1257,2515,129845,347735,./agent/0obs-20x20map-2agents-6.agents,26,2,CBSH
2,2,14,5,11,132,366,./agent/0obs-20x20map-2agents-2.agents,10,2,CBS
1,3,2,1,3,21,56,./agent/0obs-20x20map-2agents-1.agents,6,2,CBSH
6,4,18395,1257,2515,129845,343464,./agent/0obs-20x20map-2agents-6.agents,26,2,CBSH
4,1,460,79,159,3072,9618,./agent/0obs-20x20map-2agents-4.agents,18,2,CBSH
4,0,290,79,159,2352,8484,./agent/0obs-20x20map-2agents-4.agents,17,1,CBS
1,1,2,1,3,16,52,./agent/0obs-20x20map-2agents-1.agents,6,2,CBSH
2,0,4,3,7,46,165,./agent/0obs-20x20map-2agents-2.agents,9,1,CBSH
5,0,2045,220,441,9080,33076,./agent/0obs-20x20map-2agents-5.agents,21,1,CBSH
1,4,2,1,3,21,56,./agent/0obs-20x20map-2agents-1.agents,6,2,CBSH
3,0,50,13,27,278,1007,./agent/0obs-20x20map-2agents-3.agents,13,1,CBSH
2,1,11,5,11,90,297,./agent/0obs-20x20map-2agents-2.agents,10,2,CBSH
6,3,16721,1416,2833,144945,389103,./agent/0obs-20x20map-2agents-6.agents,26,2,CBS
2,3,17,5,11,130,365,./agent/0obs-20x20map-2agents-2.agents,10,2,CBSH
6,4,16767,1416,2833,144945,384144,./agent/0obs-20x20map-2agents-6.agents,26,2,CBS
2,0,5,5,11,72,259,./agent/0obs-20x20map-2agents-2.agents,9,1,CBS
5,2,2686,314,629,24122,66136,./agent/0obs-20x20map-2agents-5.agents,22,2,CBS
3,4,111,19,39,731,1995,./agent/0obs-20x20map-2agents-3.agents,14,2,CBSH
4,4,612,80,161,4442,12069,./agent/0obs-20x20map-2agents-4.agents,18,2,CBS
3,2,87,19,39,727,2035,./agent/0obs-20x20map-2agents-3.agents,14,2,CBS
6,1,11652,1332,2665,95505,289134,./agent/0obs-20x20map-2agents-6.agents,26,2,CBS
5,3,2808,302,605,23270,63412,./agent/0obs-20x20map-2agents-5.agents,22,2,CBS
6,2,14665,1391,2783,142198,385035,./agent/0obs-20x20map-2agents-6.agents,26,2,CBS
4,2,573,79,159,4414,12256,./agent/0obs-20x20map-2agents-4.agents,18,2,CBSH
5,3,3775,306,613,23472,64081,./agent/0obs-20x20map-2agents-5.agents,22,2,CBSH
5,4,2650,302,605,23270,62559,./agent/0obs-20x20map-2agents-5.agents,22,2,CBS
1,2,1,1,3,21,56,./agent/0obs-20x20map-2agents-1.agents,6,2,CBSH
5,1,2228,295,591,15837,48819,./agent/0obs-20x20map-2agents-5.agents,22,2,CBSH
3,2,113,19,39,724,2033,./agent/0obs-20x20map-2agents-3.agents,14,2,CBSH
1,0,1,1,3,14,46,./agent/0obs-20x20map-2agents-1.agents,5,1,CBSH
2,1,8,5,11,90,297,./agent/0obs-20x20map-2agents-2.agents,10,2,CBS
2,4,15,5,11,132,359,./agent/0obs-20x20map-2agents-2.agents,10,2,CBS
2,3,13,5,11,132,364,./agent/0obs-20x20map-2agents-2.agents,10,2,CBS
5,4,3119,306,613,23472,63202,./agent/0obs-20x20map-2agents-5.agents,22,2,CBSH
4,3,523,80,161,4442,12253,./agent/0obs-20x20map-2agents-4.agents,18,2,CBS
